"runtime (min)","vote_average (%)"
"152","71.45"
"138","75.45"
"92","69.03"
"93","67.01"
"92","68"
"99","69.62"
"101","71.51"
"96","67.04"
"71","54.62"
"136","72.61"
"132","64.61"
"127","74.87"
"106","72.75"
"86","51"
"89","67"
"166","72.82"
"137","69.12"
"135","79.76"
"115","64"
"110","67.13"
"107","68.12"
"113","72.56"
"91","70.15"
"104","67.07"
"100","55"
"116","68.75"
"94","70.8"
"90","70.89"
"105","61.07"
"35","0"
"87","64"
"119","74.69"
"0","60.64"
"114","59.31"
"84","56"
"98","71"
"95","45.11"
"171","75"
"87","67.64"
"154","76"
"93","66.11"
"98","53.33"
"146","74.27"
"94","59.11"
"83","51.93"
"96","58.42"
"82","82"
"84","48"
"133","71.42"
"87","70.71"
"113","63.39"
"141","65.88"
"142","68"
"89","67.78"
"120","79.27"
"118","74.55"
"132","81.18"
"102","65"
"87","52"
"137","62.31"
"102","58.3"
"113","81.22"
"94","51.43"
"103","69.57"
"161","71"
"116","65.63"
"124","71.11"
"84","63.35"
"116","62.61"
"122","67"
"140","65"
"99","67.97"
"96","70.04"
"107","78.38"
"95","57"
"143","72.71"
"126","63.87"
"121","68.94"
"51","73"
"96","73.7"
"90","63.41"
"105","73.3"
"98","58"
"94","61.85"
"60","62.87"
"127","67.63"
"147","63.79"
"113","63.34"
"98","59.91"
"130","73.14"
"99","76.66"
"107","64.17"
"102","67.95"
"116","77"
"97","57.53"
"90","47.81"
"100","56.38"
"138","77.31"
"120","74.87"
"92","70.73"
"119","83.45"
"93","10"
"103","65.04"
"167","81.48"
"99","61.78"
"140","69.74"
"152","67.79"
"105","76"
"91","68.63"
"130","82.03"
"110","70"
"96","82.39"
"88","71.8"
"107","75"
"98","67.23"
"127","77.28"
"153","81"
"148","51"
"101","62.36"
"115","58.34"
"88","72.99"
"180","80.29"
"156","68.23"
"119","66.87"
"131","72.1"
"120","69.33"
"71","63"
"157","78.02"
"95","63.81"
"103","70.99"
"60","77"
"95","70.35"
"93","64.39"
"111","62.76"
"96","60.83"
"119","62.13"
"102","58.26"
"93","55"
"127","65.97"
"128","73.47"
"110","63.4"
"112","65"
"99","62.48"
"105","73.32"
"124","59.38"
"141","80.11"
"106","85"
"96","71.68"
"130","75.62"
"130","82.32"
"84","71.8"
"120","72.09"
"143","77.43"
"100","51"
"110","78.42"
"108","67"
"121","58.24"
"101","62.19"
"89","62.68"
"92","51.54"
"201","84.83"
"108","71.93"
"127","79.54"
"101","63.52"
"133","74.05"
"104","39.44"
"163","71.63"
"141","80.73"
"87","54.28"
"111","71.41"
"106","68.63"
"112","74.11"
"110","68.31"
"162","69"
"107","75.33"
"106","63.92"
"93","48.96"
"111","76.04"
"94","70.24"
"90","63"
"98","65.44"
"60","69"
"125","68"
"109","77"
"163","73.37"
"101","75.26"
"114","68.75"
"132","66.95"
"159","70.35"
"110","71.67"
"92","69.83"
"114","62.44"
"83","53.36"
"71","77.81"
"102","75.84"
"104","75.28"
"94","46.12"
"101","56.53"
"96","50.83"
"85","52"
"118","77.54"
"93","76.21"
"149","61.11"
"0","0"
"97","70.59"
"103","63.45"
"117","70.02"
"100","58.11"
"108","71.48"
"83","54.83"
"87","73"
"132","67"
"122","73"
"117","65.12"
"137","68.43"
"81","63.51"
"103","73.36"
"100","73.48"
"103","82.17"
"89","60.42"
"118","59.83"
"107","63.48"
"118","68"
"95","69.11"
"107","79.44"
"111","62.08"
"97","71.85"
"92","81"
"25","69.84"
"111","58.71"
"71","64"
"128","72.1"
"105","64.6"
"156","63.65"
"105","65.49"
"140","75.71"
"121","77.9"
"144","78.66"
"169","82.18"
"105","64.96"
"138","76"
"134","70.57"
"103","63.36"
"97","66.42"
"960","79"
"107","64.27"
"132","70"
"100","62.75"
"90","63.2"
"0","35"
"107","74.93"
"105","59.85"
"150","83.79"
"87","50"
"97","67.95"
"89","49"
"99","65.8"
"114","61.62"
"131","78.44"
"138","73.36"
"116","72.28"
"81","79.67"
"189","73.75"
"94","58"
"129","74.67"
