"sum ( revenue )","budget","popularity"
"15691192","47000000","8.6983"
"8633074","0","8.4376"
"443807","100000","8.6184"
"1754389","0","8.1088"
"333000000","28000000","19.0084"
"0","0","7.8876"
"18435583","0","8.3339"
"0","0","33.5743"
"0","0","8.514"
"0","0","8.8957"
"197700000","195000000","12.8854"
"53992802","30000000","16.2051"
"376100000","45000000","12.7608"
"102391540","23600000","6.864"
"772776600","170000000","8.823"
"0","0","12.9318"
"2799439100","356000000","53.6149"
"791658205","178000000","13.4175"
"4796993","16000000","11.7005"
"29800000","3000000","11.5255"
"384298736","90000000","19.1081"
"295038508","111000000","16.4817"
"7417517","0","9.4926"
"93100000","60000000","9.5862"
"779556","0","9.4284"
"0","0","8.5321"
"0","0","10.8516"
"0","0","7.3093"
"660132","15000000","8.8747"
"13900000","32000000","11.2927"
"8808611","25000000","8.6153"
"2264162353","200000000","46.9899"
"0","0","11.0085"
"153000000","57000000","10.7766"
"108605609","86000000","10.5914"
"0","0","10.8487"
"32227855","40000000","16.7453"
"8000000","1800000","7.3389"
"71508440","40000000","14.6738"
"84618541","25000000","11.8483"
"27507549","12000000","13.7192"
"81673897","31000000","8.3244"
"2858846","0","8.2797"
"0","0","15.0084"
"306941670","145000000","11.0474"
"236412453","21000000","13.7538"
"657870525","165000000","17.5711"
"398479497","150000000","20.5308"
"160542134","88000000","12.5989"
"1266115964","160000000","65.8599"
"0","0","13.2756"
"158972570","25000000","9.7849"
"0","0","14.923"
"203277636","66000000","7.1982"
"19682924","16000000","10.1003"
"0","0","8.457"
"160300000","30000000","10.476"
"144353965","24000000","14.9642"
"525704","0","12.2431"
"140376621","19000000","11.4594"
"97400000","21000000","9.5819"
"400000000","850000","8.6371"
"0","0","9.0372"
"253890701","110000000","16.6363"
"286801374","60000000","42.7144"
"5994921","0","8.6603"
"0","0","12.2938"
"0","0","9.3039"
"0","0","24.7644"
"114500000","45000000","9.527"
"24121245","15000000","10.7644"
"0","0","15.5478"
"0","0","9.7067"
"33562069","40000000","9.0876"
"0","0","8.4313"
"0","0","7.1899"
"0","19800000","6.9812"
"16014123","70000000","8.6807"
"370541256","178000000","12.0282"
"743600000","200000000","20.0824"
"7283918","0","9.7377"
"27165581","6000000","7.4468"
"213216216","72000000","10.8973"
"0","0","8.9074"
"0","0","12.0274"
"463406268","14000000","12.265"
"0","0","9.3997"
"0","20000000","33.2761"
"173600000","37000000","10.4379"
"171128620","27000000","7.3634"
"15992615","2700000","7.9873"
"201500000","7000000","7.8076"
"16000000","1300000","8.3572"
"51000000","60000000","8.5591"
"689000","0","7.4141"
"9101546","13000000","11.6768"
"13657649","14000000","11.4403"
"542064525","75000000","21.6263"
"7200000","2540800","13.0916"
"42808575","0","11.1042"
"0","10000000","8.4287"
"32400000","9500000","7.6551"
"13422333","0","8.6422"
"191000000","4000000","8.1579"
"286140700","115000000","12.1668"
"14759148","4000000","7.8762"
"167300000","40000000","12.3019"
"258000000","0","11.7193"
"235483004","11000000","10.9712"
"23580000","25000000","9.053"
"351040419","105000000","16.2883"
"22099847","24000000","7.6643"
"76016171","100000000","14.0375"
"0","0","23.6335"
"0","0","8.166"
"20592796","50000000","7.9296"
"12687507","5000000","10.0394"
"67100000","15000000","10.5132"
"169327687","100000000","14.9585"
"100230832","55000000","9.8551"
"13624522","4000000","7.9837"
"56385","0","8.4508"
"159710793","50000000","9.0481"
"155475778","22000000","9.8913"
"0","0","30.0008"
"34600000","19000000","9.4573"
"114194847","12000000","11.4234"
"0","0","8.3238"
"10696210","22000000","10.6147"
"1338073645","200000000","70.0177"
"19840000","750000","15.3425"
"40903593","25000000","14.2027"
"5987386","2500000","11.9191"
"0","0","8.6713"
"0","0","30.5274"
"0","0","12.6807"
"103900000","73000000","8.6629"
"21800000","35000000","7.635"
"36606743","20000000","9.0052"
"257591776","11363000","25.4977"
"243240178","40000000","15.8874"
"235900000","16400000","11.2473"
"132563930","57000000","12.1708"
"0","0","7.6817"
"1042341650","145000000","11.1504"
"532950503","135000000","24.1525"
"168961389","35000000","22.088"
"90146510","18000000","13.8657"
"252139018","40000000","6.8538"
"177394432","31000000","7.883"
"13960394","9000000","8.5459"
"9392768","2000000","8.2122"
"51376861","30000000","9.0831"
"0","0","9.1769"
"18800000","30000000","8.071"
"85498534","48000000","10.2985"
"0","0","9.4458"
"28900000","10000000","8.92"
"0","4000000","10.0924"
"0","0","67.328"
"213928762","8000000","27.8407"
"0","0","7.3959"
"623726000","150000000","18.873"
"107626125","46000000","11.0995"
"0","0","8.3463"
"96409830","15000000","8.2273"
"0","0","7.6205"
"0","0","7.2925"
"73951475","20000000","10.9432"
"29200000","25000000","9.1858"
"194564672","35000000","13.7961"
"21964072","0","10.8493"
"127200000","40000000","15.0514"
"8000000","73000","9.3647"
"1397526","0","9.877"
"39458207","5000000","8.5012"
"0","0","66.8389"
"0","0","9.0265"
"27362712","8000000","8.2905"
"224834564","45000000","14.8378"
"30819442","0","21.3126"
"27100000","35000000","8.7424"
"0","0","6.2032"
"0","0","7.8162"
"181096164","26000000","10.6748"
"195870885","0","22.4447"
"0","0","19.3441"
"248639099","60000","73.1864"
"45284974","16000000","21.6545"
"192610372","30000000","12.7828"
"111200000","109000000","13.2492"
"40909909","50000000","9.4431"
"16914773","0","11.956"
"0","0","8.7859"
"708962323","200000000","11.109"
"235002026","37000000","15.8484"
"15249308","3000000","8.6137"
"0","947000","7.7273"
"9071701","0","11.1883"
"0","0","10.3815"
"102034104","20000000","10.6555"
"0","0","7.8764"
"83300000","53000000","12.306"
"20703794","30000000","14.3535"
"102900000","58000000","11.6581"
"41200000","28000000","7.5034"
"0","0","12.9499"
"1880000","0","8.0055"
"134038006","125000000","18.6561"
"161440742","16000000","16.899"
"25200000","10000000","9.1798"
"30017163","0","14.5173"
"16367326","3500000","8.4969"
"0","0","8.6633"
"0","0","12.0936"
"56070433","45000000","7.8395"
"0","0","9.4073"
"297718711","70000000","17.5838"
"50236831","31000000","7.7832"
"90632641","18000000","8.8639"
"0","0","7.8744"
"91244913","12000000","8.1688"
"171539887","40000000","13.1414"
"0","0","30.3127"
"3912534","0","9.0024"
"105173115","30000000","12.245"
"0","17000000","11.4775"
"263600000","2900000","12.5544"
"0","0","7.1441"
"58292295","85000000","10.9343"
"150797338","0","17.1618"
"0","0","16.514"
"0","0","4.1385"
"1310466296","170000000","35.0338"
"343397247","80000000","14.4584"
"12900000","2000000","8.1032"
"323638107","0","19.8549"
"2106733","20000000","8.9325"
"28258060","32000000","9.4743"
"0","0","11.2392"
"0","0","12.9001"
"66122026","25000000","9.3693"
"11000000","560000","8.7834"
"149900000","50000000","9.0339"
"0","0","10.7918"
"0","0","5.9795"
"235957472","25000000","23.2433"
"3396726","0","6.2064"
"83100000","35000000","7.6922"
"36709101","10000000","43.1365"
"50100000","10000000","9.3526"
"2000000","0","27.8854"
"18637690","3000000","8.7668"
"234801895","34200000","9.1441"
"104324083","60000000","9.6668"
"0","0","16.0902"
"124700000","60000000","8.477"
"59400000","15000000","11.5892"
"281929795","25000000","15.3058"
"81550000","0","11.4247"
"145079584","50000000","14.4938"
"0","0","7.2074"
"0","0","14.9235"
"129800000","60000000","11.7157"
"47300","0","8.1115"
"42045846","32000000","7.7699"
"17514980","15000000","7.7574"
"39400000","50000000","13.2375"
"23712097","6200000","9.4745"
"13037403","50000000","10.4633"
"98159963","75000000","8.4457"
"682716636","150000000","10.1984"
"0","0","9.6841"
"41142379","34000000","9.4781"
"0","0","60.3249"
"0","0","7.3753"
"52800000","52000000","9.9544"
"0","0","3.6646"
"0","0","6.948"
"789804554","130000000","32.7156"
"48198019","40000000","8.1202"
"203000000","90000000","11.8901"
"27437881","30000000","8.26"
"0","0","8.7266"
"163000000","72500000","9.7172"
"70000000","9000000","7.4748"
"61600000","130000000","12.2836"
"5705895","3000000","17.9904"
"197100000","48000000","10.4587"
"9953934","0","9.3834"
"37289659","25000000","9.9042"
"3836866","15000000","11.0164"
"0","0","9.5374"
"370569774","140000000","11.0648"
"71441250","21000000","11.3428"
"12610418","22000000","10.9788"
"180928503","50000000","33.4691"
"41418925","9100000","15.2431"
"13000000","4000000","12.2364"
"46576136","12000000","8.6835"
"159291809","30000000","7.6533"
"14800000","20000000","7.7635"
"0","0","7.0443"
"0","0","17.2175"
"21658982","0","11.8483"
"0","0","9.0726"
"6501810","3000000","9.3569"
"530786","30000000","13.308"
"0","0","8.3825"
"96942115","20000000","7.3931"
"0","795000","9.7961"
"127400000","100000000","12.7872"
"242988466","100000000","7.1568"
"130482868","102000000","12.9636"
"87825916","10000000","23.4227"
"0","0","22.6228"
"516642939","80000000","12.1106"
"40900000","6000000","9.0723"
"274470394","80000000","17.7426"
"92000000","4500000","13.2142"
"237200000","90000000","13.9572"
"0","0","8.8201"
"152356177","12000000","15.5629"
"938212738","150000000","28.0642"
"2339206","0","9.364"
"95330493","3500000","13.2089"
"940203765","85000000","24.0154"
"0","0","19.2303"
"9923127","5740000","14.4702"
"115600000","29000000","18.0809"
"28451622","6500000","8.7767"
"0","0","15.4335"
"0","0","12.751"
"18803648","9000000","11.708"
"41482207","50000000","13.6932"
"0","0","6.5628"
"301970083","150000000","12.7277"
